Training samples: 7797
Evaluation samples: 1950
trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
Starting training from scratch...
{'loss': 1.0309, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 1.0044, 'learning_rate': 1e-05, 'epoch': 0.04}
{'loss': 1.0071, 'learning_rate': 1.5e-05, 'epoch': 0.06}
{'loss': 0.9656, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 0.9079, 'learning_rate': 2.5e-05, 'epoch': 0.1}
{'loss': 0.8868, 'learning_rate': 3e-05, 'epoch': 0.12}
{'loss': 0.8472, 'learning_rate': 3.5e-05, 'epoch': 0.14}
{'loss': 0.8247, 'learning_rate': 4e-05, 'epoch': 0.16}
{'loss': 0.8121, 'learning_rate': 4.5e-05, 'epoch': 0.18}
{'loss': 0.8109, 'learning_rate': 5e-05, 'epoch': 0.21}
{'loss': 0.7884, 'learning_rate': 4.963262307127113e-05, 'epoch': 0.23}
{'loss': 0.7662, 'learning_rate': 4.926524614254225e-05, 'epoch': 0.25}
{'loss': 0.7448, 'learning_rate': 4.8897869213813376e-05, 'epoch': 0.27}
{'loss': 0.7682, 'learning_rate': 4.85304922850845e-05, 'epoch': 0.29}
{'loss': 0.7753, 'learning_rate': 4.8163115356355625e-05, 'epoch': 0.31}
{'loss': 0.757, 'learning_rate': 4.779573842762674e-05, 'epoch': 0.33}
{'loss': 0.7308, 'learning_rate': 4.7428361498897874e-05, 'epoch': 0.35}
{'loss': 0.7661, 'learning_rate': 4.7060984570169e-05, 'epoch': 0.37}
{'loss': 0.7505, 'learning_rate': 4.6693607641440116e-05, 'epoch': 0.39}
{'loss': 0.7435, 'learning_rate': 4.632623071271124e-05, 'epoch': 0.41}
{'eval_loss': 0.7411623597145081, 'eval_runtime': 154.1104, 'eval_samples_per_second': 12.653, 'eval_steps_per_second': 1.583, 'epoch': 0.41}
{'loss': 0.7443, 'learning_rate': 4.595885378398237e-05, 'epoch': 0.43}
{'loss': 0.7279, 'learning_rate': 4.559147685525349e-05, 'epoch': 0.45}
{'loss': 0.7287, 'learning_rate': 4.5224099926524614e-05, 'epoch': 0.47}
{'loss': 0.7496, 'learning_rate': 4.485672299779574e-05, 'epoch': 0.49}
